,t,RoadType,ObservedCount,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,VehicleClass_Heavy,VehicleClass_Medium,VehicleClass_Light,FuelType_Diesel,FuelType_Unknown,FuelType_Gasoline,FuelType_Flexible,Vocation_LongHaul,Vocation_Regional,Vocation_Local,Vocation_HubAndSpoke,Vocation_DoorToDoor,NAICS_code_48,NAICS_code_44,NAICS_code_49,NAICS_code_42,NAICS_code_81,NAICS_code_23,NAICS_code_54,NAICS_code_56,NAICS_code_53,NAICS_code_31,NAICS_code_33,NAICS_code_45,NAICS_code_22,NAICS_code_92
37,12,primary,2730.8,210.8,191.8,252.0,210.7,239.7,240.1,212.8,249.9,225.4,245.3,233.6,218.5,859.5,550.6,1269.0,1055.9,320.7,1167.5,173.1,193.5,401.9,967.8,542.6,252.7,536.2,289.7,54.7,446.9,96.5,207.7,119.3,355.8,98.5,113.8,78.6,54.3,48.9,52.0
38,12,trunk,3395.7,260.8,239.8,314.1,269.9,299.5,293.4,268.6,311.7,283.3,304.6,281.4,268.5,1264.6,641.8,1431.2,1455.5,423.2,1322.6,187.4,297.8,564.6,1166.6,646.2,233.6,765.3,325.4,76.8,512.9,148.4,231.9,147.6,412.6,148.7,151.2,103.8,71.6,64.1,46.2
39,13,motorway,14243.6,1058.7,1004.2,1280.2,1101.0,1251.9,1210.1,1111.5,1363.9,1190.7,1301.4,1216.2,1153.9,7318.9,2638.9,4071.2,8211.7,1726.7,3698.2,581.6,3473.1,2856.4,3442.8,2067.2,266.2,5055.1,1116.7,520.7,1859.0,513.3,1072.4,575.1,1031.6,565.3,411.7,469.0,189.8,65.8,36.6
40,13,primary,2551.6,190.9,181.8,234.4,196.1,223.3,223.3,202.5,236.2,209.2,229.7,219.3,204.8,819.5,540.4,1146.7,1022.5,301.1,1042.3,172.2,187.2,390.9,959.3,526.1,133.1,512.3,276.3,52.9,372.3,98.0,207.0,114.3,291.7,97.7,105.8,81.2,51.2,49.6,61.4
41,13,trunk,3212.1,240.4,229.5,297.4,253.2,284.3,279.1,254.5,301.6,258.7,284.1,272.8,256.6,1201.9,620.1,1333.0,1399.7,393.3,1219.3,192.4,282.9,544.2,1158.8,609.8,150.0,725.6,294.3,70.9,416.7,148.4,238.2,140.9,374.2,158.1,145.1,107.5,65.2,65.3,50.9
42,14,motorway,13901.7,1023.2,978.0,1259.6,1079.9,1223.9,1175.1,1098.5,1334.1,1161.3,1274.0,1179.8,1114.2,6701.1,2546.5,4436.4,7647.6,1587.8,4002.7,637.7,3296.7,2782.1,3673.3,1823.8,261.0,4695.2,1001.0,492.6,1725.2,549.7,1190.1,624.7,1058.7,560.7,380.7,557.5,204.5,88.1,34.1
43,14,primary,2521.7,184.4,177.9,230.6,194.2,222.9,222.9,200.9,236.1,207.3,227.8,215.2,201.2,765.5,507.3,1201.8,971.9,271.1,1091.1,177.3,181.8,378.1,973.0,503.6,137.0,491.8,258.1,47.5,347.3,102.1,224.6,116.1,291.5,94.4,93.0,98.8,62.0,48.6,68.8
44,14,trunk,3196.8,235.8,231.3,295.8,248.2,283.2,281.7,253.6,300.2,260.2,284.9,267.0,255.1,1084.4,595.2,1460.0,1289.6,365.0,1319.1,214.6,265.1,524.8,1215.6,571.4,149.5,686.9,276.7,66.1,388.7,168.8,259.6,140.7,377.4,154.7,129.0,140.8,75.6,68.9,49.3
45,15,motorway,12937.1,953.9,909.4,1171.2,1006.2,1139.0,1106.1,1047.1,1225.0,1084.3,1184.3,1083.6,1026.8,5861.9,2374.9,4489.8,6810.4,1380.5,4035.6,693.5,3025.5,2529.3,3754.3,1463.7,244.4,4187.2,827.9,449.7,1472.1,520.3,1266.0,724.0,1031.3,502.9,389.4,536.0,184.6,111.5,29.5
46,15,primary,2435.5,182.5,171.5,221.9,190.7,215.2,217.0,193.4,223.9,198.8,221.6,205.9,193.2,659.7,466.2,1255.9,866.4,229.4,1142.1,191.3,167.1,364.5,1004.6,433.2,128.2,447.5,225.9,39.9,310.1,104.5,249.9,151.0,290.0,90.5,79.9,110.1,64.9,56.4,51.9
